lexeme_id	Orthography	Lexical entry	Glossing label	Coverbal form	Adverbial form
a1		ačɨ́χdɨ	open.adj	ačɨχ	ačɨχana
a2		ajbaǯárdɨ 	unattractive	ajbaǯar	ajbaǯarana
a3		alčáχdɨ	low	alčaχ	alčaχana
a4		áˤqʼurdɨ	wide	aˁqʼura	aˁqʼurana
a5		aˤǯízdɨ	slim	aˤǯiz	aˤǯizana
a6		bahád	expensive	baha	bahana
a7		balád	much.adj	bala	balana
a8		bardɨ	blunt	bara	barana
a9		batʼrad ~ bɨtʼrad	beautiful1	batʼrana	batʼrana
a10		bikʼérdɨ	hot	bikʼera	bikʼerana
a11		bɨ́ˁrqʼɨd	blind	bɨˁrqʼa	bɨˁrqʼana
a12		bíšdɨ	deaf	biši	bišina
a13		čapáˁldɨ	dirty	čapaˁl	čapaˁlana
a14		čatɨ́ndɨ	difficult	čatɨn	čatɨnana
a15		cʼɨ́ddɨ	clear	cʼɨdda	cʼɨddana
a16		čʼidkʼɨd	hard	NO FORM	NO FORM
a17		cʼindɨ	new	cʼina	cʼinana
a18		čʼirčʼímdɨ	sour	čʼirčʼima	čʼirčʼimana
a19		čʼirid	rough	čʼiri	čʼirina
a20		čʼiχíd	large	čʼiχi	čʼiχina
a21		čudijed	yellow	čudije	čudijena
a22		daráqʼdɨ	orange.adj	daraqʼa	daraqʼana
a23		delid	crazy1	deli	NO FORM
a24		derindɨ	deep	derin	derinena
a25		dinǯdɨ	quiet	dinǯ	dinǯena
a26		dɨqʼˁíldɨ	bitter	dɨqʼˁile	dɨqʼˁilena
a27		dirid	fast	diri	dirina
a28		dǘzdɨ	straight	düz	düzena
a29		düzémdɨ	flat	düzem	düzemna ~ düzemena 
a30		ekéd	big	eke	ekéna
a31		eweldɨ	ancient1	NO DATA	NO FORM
a32		ɢajnérdɨ	boiled	ɢajner	ɢajnérana
a33		ɢalíndɨ	thick2	ɢalina	ɢalinana
a34		gaˁšdɨ	hungry	gaˁše	gaˁšena
a35		géddɨ	thin1	gedda	geddana
a36		ɢɨˁbdɨ	grey	ɢɨˁba	ɢɨˁbana
a37		ɣɨrɣɨ́mdɨ	spicy	ɣɨrɣɨma	ɣɨrɣɨmana
a38		ɢaˤrkid	warm	NO FORM	ɢaˁrkina
a39		ɢurúd	dry.adj	ɢurú	ɢurúna
a40		guǯlid	strong1	guǯli	guǯlina
a41		harčéd	right	NO FORM	NO FORM
a42		hazɨ́rdɨ	ready	hazɨr	hazɨrana
