lexeme_id	Lexical entry	Orthography	Glossing label	Gender	Attributive
n1	ábɨr	абыр	behavior	3	abɨrdid
n2	awán	аван	rope	4	awnád
n3	awár	авар	avar	1	awárad
n4	aʁsaqál	агъсахъал	aksakal	1	aʁsaqálad
n5	aʁɨ́l	агъыл	corral	4	aʁɨ́lad
n6	adát	адат	custom	4	adatad
n7	azúkʼʷaj	азукIвай	curdled_milk	3/4	azúkʼʷajed
n8	ajʁɨ́r	айгъыр	stallion	3	ajʁɨ́rad
n9	alwér	алвер	trade	4	alwerad
n10	alláh	аллагь	Allah	NO DATA	alláhad
n11	aχbazán	ахбазан	apricot	3	aχbazánad
n12	áˁräbi	аьраьби	carriage	4	aˁräbijed
n13	aˁjná	аIйна	glass	3	aˁjníjed
n14	aˁrá	аIра	distance	4	aˁrijid
n15	áˁrab	аIраб	sickle	3	áˁrabad
n16	aˁq	аIхъ	shadow	3	aˁqáˁd
n17	babá	баба	elder_relative	1	babád
n18	bábaj	бабай	grandmother	2	bábajdɨ
n19	baʁ	багъ	garden	4	baʁdid
n20	bahna	багьна	reason	NO DATA	baχnijid
n21	badú	баду	trousers	3	badújed
n22	baqʼáqʼaj	бакьакьай	tick	3	baqʼáqʼajed
n23	baltá	балта	axe	4	baltɐ́jid
n24	balúʁ	балугъ	fish	3	balʁúd
n25	ban	бан	pasture	3	banád
n26	bar	бар	burden2	3	bardid
n27	barmák	бармак	headdress	3	barmakad
n28	begʲ	бегʼ	side1	3	begíd
n29	bejní	бейни	brain	4	bejníjed
n30	bek’ʲ	бекIʼ	tar	4	bek’éldɨ
n31	bel	бел	forehead	4	beldɨ
n32	ber	бер	spade	4	berád
n33	bibíčil	бибичил	swallow	3	bibíčiled
n34	bic’érxen	бицIерхьен	spleen	3	bicʼerxenad
n35	buʁáz	бугъаз	throat	3	buʁázad
n36	bukʼʷ	букIв	animal_lip	3	bukʼójid
n37	buχɐ́jri	бухАйри	fireplace	3	buχɐ́jrijed
n38	bɐbɐdíd	быбыдид	grandfather	1	bɐbɐdíddɨ
n39	bɨz	быз	bumblebee	4	bɨzɨ́rdɨ
n40	bɨláχ	былах	wellspring	3	bɨláχad
n41	bɨlɨtʼ	былытI	penis	NO DATA	NO DATA
n42	bɨrǯ	бырдж	financial_debt	4	NO DATA
n43	bɨč’	бычI	flower	4	bɨčʼíd
n44	waz	ваз	moon	3	wazɨ́rdɨ ~ wazɨldɨ
n45	wakír ~ wakíl	вакир ~ вакил	wedding_witness	NO DATA	wakiled
